No.,Username,Text,Created at,Likes,Conversation ID,Reply count,Replies text,URL
13,Teleantioquia,"¿Qué pasó en el @metrodemedellin? ¡Pues estamos en #ModoAntioqueño! 💚

🎶 Yo soy de aquí y a donde voy llevo activo el #ModoAntioqueño… https://t.co/UWIwkMP4Ff",Thu Feb 13 18:09:06 +0000 2025,54,1890100905267393005,13,"@Teleantioquia @metrodemedellin @GobAntioquia @AndresJRendonC Gonorrea de canción; @Teleantioquia @metrodemedellin @GobAntioquia @AndresJRendonC Que gonorrea de canción uribestia hijueputa; @Teleantioquia @metrodemedellin @GobAntioquia @AndresJRendonC Cómo es el gobernador si puede armar desorden que les pasa unos si y otros no; @wegilaz @Teleantioquia @metrodemedellin @GobAntioquia @AndresJRendonC No nos quedó grande sacar a la hijueputa guerrilla como el resto de mierderos de colombia...; @Teleantioquia @metrodemedellin @GobAntioquia @AndresJRendonC Señores @Teleantioquia @metrodemedellin este video es de las cosas más lindas que he visto de mi Gober @AndresJRendonC #ModoAntioqueño 🤍💚 https://t.co/QESLaHiEKK; @Teleantioquia @metrodemedellin @GobAntioquia @AndresJRendonC #ModoAntioqueño dizque nada nos queda grande... Hipocresía nivel paisa 🙄 https://t.co/4Gs0rhUTcx; @Teleantioquia @metrodemedellin @GobAntioquia @AndresJRendonC @AndresJRendonC tratando de levantar su pésima imagen mientras vende los municipios de #Antioquia a las multinacionales extractivistas.
Degenerados de @Teleantioquia cuanto costó está cuña tan mala? 
Cuanto se fue en ese remedo de ficticio?; @Teleantioquia @metrodemedellin @GobAntioquia @AndresJRendonC Jajajajaja no sean tan evidentes por favor, pura actuación, ese man empieza a cantar en el metro con pueblo real y no lo sigue nadie por la simple razón que nadie conoce esa canción; @Teleantioquia @metrodemedellin @GobAntioquia @AndresJRendonC Mejor Gobernador del país 🙏; @Teleantioquia @metrodemedellin @GobAntioquia @AndresJRendonC El
Show con artistas contratados para tratar ayudar imagen gobernador prepotente; @Teleantioquia @metrodemedellin @GobAntioquia @AndresJRendonC Ojalá estar ahí pa darle un calvazo al inepto de @AndresJRendonC alérgico al trabajo,debería irse a la casa de los famosos,lo único que le gusta es la pantalla al malparido ese.; @Teleantioquia @metrodemedellin @GobAntioquia @AndresJRendonC El gobernador con tanto odio adentro, no se le siente el más mínimo amor por Antioquia.; @Teleantioquia @metrodemedellin @GobAntioquia @AndresJRendonC Sin tren del Rio; sin metro cables nuevos, sin metro de la 80, sin tigoUne, sin buses nuevos para reemplazar esas carcachas que tenemos en el metroplus , sin proyectos viales que solucionen la nefasta movilidad, sin computadores futuro! Que tumbada la que le pegaron a Medellín.",['https://x.com/Teleantioquia/status/1890100905267393005/video/1']
14,𝕃𝕦 🤹🏻‍♀️,"Amiguis @metrodemedellin es necesario seguir cultivando la Cultura Metro. Sugiero que pasen más seguido el mensaje del uso de audífonos ya que voy en un tren y tengo de vecinos a uno que va viendo una película, otra escuchando vallenatos y otro más oyendo un audio a todo volumen",Mon Feb 17 13:45:09 +0000 2025,21,1891484031629275590,1,"@lufeguga Hola, Lu. Gracias por el reporte. Constantemente promovemos la #CulturaMetro, a través de mensajes por altavoces, pantallas en buses y estaciones y redes sociales. Lamentamos que algunos de nuestros viajeros no vivan la #CulturaMetro, y te invitamos a que con tu ejemplo inspires",[]
15,Lina María ✍,"Hola @metrodemedellin, ¿En cuál  estación del Metro me bajo y cuál alimentador tomo para llegar a la fábrica Noel en Metro?.  Quedo atenta.",Fri Jan 24 22:02:17 +0000 2025,0,1882911829913202830,1,"@metrodemedellin Muchas gracias, voy a mirar entonces.; @Bicorav Hola, Lina. 
¡Muy buenas tardes! No tenemos una ruta que pase por la Fábrica Noel. La ruta C3-001A en la estación Aguacatala pasa por toda la 10A, cerca a este lugar.",[]
16,Johan Arenas Rueda,"Hola tío @metrodemedellin, feliz miércoles. Me podrías indicar, por favor, ¿cómo puedo llegar a la Unidad Deportiva de Belén? 

Gracias.",Wed Jan 15 11:22:31 +0000 2025,3,1879489334526844933,1,"@metrodemedellin Muchas gracias tío. Un abrazo.; @JohanArenasR El sobri Johan, buenos días. Esperamos que estés muy bien. Te recomendamos viajar hasta la estación Industriales, realizar transferencia a la línea 1 o 2 de buses con dirección U. de M. y bajarte en la parada Fátima que se encuentra a dos cuadras de tu destino.

¡Un abrazo! 🤗",[]
17,Norman,"Cómo tas dos los días nuestra eterna espera de más de 1 hora señores @metrodemedellin esperando por un alimentador ruta del vergel en Buenos aires y acá un ejemplo bus fuera de servicio y mera fila de usuarios, pero bueno eso es calidad de vida https://t.co/r59h8yKWH3",Wed Jan 22 22:24:06 +0000 2025,1,1882192541547946361,1,"@normelio1 Hola, Norman. Lamentamos la experiencia que has tenido. Tenemos reporte de una unidad con inconveniente técnico en la ruta C6-005. Además, también hay registro de congestión vehicular, asociada a la hora pico y que afecta las frecuencias. 

Agradecemos tu comprensión. ¡Saludos!",['https://x.com/normelio1/status/1882192541547946361/photo/1']
18,Álvaro González Uribe,"""Viajes en el Metro de Medellín cayeron 4 millones el año pasado, ¿qué pasó?""
Mi caso: Amo y admiro el @metrodemedellin, trato de usarlo siempre, pero les voy a decir qué me ha alejado: el alargamiento sostenido de las horas pico, el hacinamiento se está volviendo insoportable.",Wed Feb 05 14:15:27 +0000 2025,1,1887143000116977814,0,,[]
19,Juan Fernando M. 💀🍏,"Hoy a un usuario le tocó llegar a pie hasta la casa  🤠
@metrodemedellin https://t.co/yz3wpJFUUO",Sat Mar 01 01:24:30 +0000 2025,121,1895646295781753205,1,"@YunnanMusik ¡Gracias!  🪖; @metrodemedellin Jajajaj 😂
Si CM, Los auxiliares bachiller de la estación industriales que estaban en plataforma quedaron a cargo con el casco.  👍🥴; @YunnanMusik 🥹 Pobre; no dejó la moto porque no la dejan subir. 🏍️

Juan, por favor entrégalo a personal Metro. 

#CulturaMetro 💚",['https://x.com/YunnanMusik/status/1895646295781753205/photo/1']
20,Juliana R,Hola. @metrodemedellin. Que ruta me  sirve para llegar al San lucas plaza gracias,Thu Dec 26 18:25:16 +0000 2024,0,1872347968394944636,0,,[]
21,Mariana Londono Gomez,"¿Por qué no reducir esta tasa a 0% con una puerta cerrada antes de que el metro se detenga? y aunque esto es un comentario impopular, porque los populares son: por qué no decidió quitarse la vida de otra manera para que no hiciera llegar a muchas personas tarde. @metrodemedellin",Tue Jan 28 05:00:59 +0000 2025,0,1884104361158254656,1,¿Cuántas vidas podríamos salvar este año? se lo digo hoy 27 de enero. @metrodemedellin @AlcaldiadeMed,[]
22,Valentina 💜,"Te amo @metrodemedellin 
Por hacernos llegar a casita 💚",Sun Dec 08 06:49:23 +0000 2024,1,1865649859568509138,0,,[]
23,sebastián,hola @metrodemedellin ¿cómo puedo llegar al hospital Manuel Uribe Ángel desde la estación Envigado? gracias,Tue Dec 03 23:25:14 +0000 2024,0,1864088533524201858,1,"@gudbailover Hola, Sebastián.
¡Muy buenas noches! En la #EstaciónEnvigado puedes tomar la ruta integrada 6405-1, que pasa por tu destino. 🤗",[]
24,JuanFerArango🏳️‍🌈🏳️‍⚧️🧜,Qué es esta estupidez y cómo el @metrodemedellin se presta para el juego cochino del inepto de @AndresJRendonC Habrase visto semejante payasada! Hasta ahí les llegó su tal cultura.,Fri Feb 14 19:33:32 +0000 2025,0,1890484541149589881,0,,[]
25,pablo henao,Hola @metrodemedellin cómo puedo llegar al mall le mont? Gracias,Sat Mar 01 17:12:39 +0000 2025,0,1895884902673105111,1,"@pablohenao97 Hola, Pablo. No tenemos rutas que pasen por Le Mont. La ruta que más cerca pasa lo hace por la glorieta de Sancho Paisa y regresa al área metropolitana por El Escobero. ¡Saludos!",[]
26,Soffff,Holaaa @metrodemedellin cómo puedo llegar a esta dirección Cra. 84 #35 07  La América. ¡Gracias!,Fri Dec 20 01:34:34 +0000 2024,0,1869919287370018837,1,"@Soffffacuario Hola, Soffff. Tienes 2 opciones. 
Puedes abordar la ruta 195ii en la Estación Floresta o la ruta 193ii en la estación Estadio. Ambas pasan al frente de tu destino. ¡Saludos!",[]
27,Jota.,"Hola querido señor @metrodemedellin tengo una pregunta, si voy a cambiar mi cívica porque se me está dañando, tengo que pagar algún adicional? https://t.co/gVn9EoDBo5",Sat Jan 04 20:54:02 +0000 2025,0,1875646897630933462,1,"@Jhulianamateus Hola, nuestra querida Jhuliana. 
Puedes tramitar tu Cívica en los PAC ubicados en las estaciones Niquía, Acevedo (línea P), Itagüí, San Javier y San Antonio, de lunes a viernes de 10:30 a.m. a 7:30 p.m. (jornada continua). No abren sábados, domingos ni festivos. Por primera vez",['https://x.com/Jhulianamateus/status/1875646897630933462/photo/1']
28,negra,hola @metrodemedellin cómo puedo llegar a el tesoro con el sistema metro???? gracias los amo,Sun Dec 29 18:16:29 +0000 2024,2,1873432921211822096,1,"@metrodemedellin okis graciassss🥰; @laveneno01 Hola, Negra. Debes viajar hasta la #EstaciónPoblado y allí tomar la ruta integrada 134i que pasa por el centro comercial.",[]
29,ᵣₒᵣᵢ,"Hola @metrodemedellin, por qué la ruta 06002 que sube por Villa Hermosa está tan lenta?, ¿Hay algún inconveniente?",Thu Dec 05 22:00:32 +0000 2024,0,1864791994247041230,1,@rxxxxn_ Hola @rxxxxn_. A esta hora nos reportan alta afluencia vehicular y posibles manifestaciones cerca a la Universidad de Antioquia. Ambas situaciones impactan en la frecuencia de la ruta. Saludos.,[]
